,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
411903,24,730.4000000000001,Residential,7304,1.0,0.0
411985,20,755.8000000000001,Residential,7558,1.0,0.0
412119,20,14567.300000000001,Residential,145673,15.0,15.0
412120,3,9746.9,Residential,97469,10.0,10.0
412151,3,1501.6000000000001,Residential,15016,2.0,-2.0
412158,24,1383.7,Residential,13837,2.0,-2.0
412246,3,309.6,Residential,3096,1.0,0.0
412358,2,723.3000000000001,Residential,7233,1.0,0.0
412364,2,1426.1000000000001,Residential,14261,2.0,0.0
412381,24,6945.700000000001,Residential,69457,7.0,7.0
412382,2,761.5,Residential,7615,1.0,0.0
412391,20,1039.2,Residential,10392,2.0,1.0
412392,2,709.1,Residential,7091,1.0,0.0
412402,2,683.3000000000001,Residential,6833,1.0,0.0
412406,20,681.8000000000001,Residential,6818,1.0,0.0
412408,24,698.1,Residential,6981,1.0,0.0
412411,20,681.2,Residential,6812,1.0,0.0
412471,24,768.8000000000001,Residential,7688,1.0,0.0
412472,24,766.7,Residential,7667,1.0,-1.0
412473,2,774.3000000000001,Residential,7743,1.0,0.0
412474,20,756.8000000000001,Residential,7568,1.0,0.0
412481,2,698.0,Residential,6980,1.0,0.0
412482,2,1048.6000000000001,Residential,10486,2.0,1.0
412487,2,1060.3,Residential,10603,2.0,1.0
412509,24,555.6,Residential,5556,1.0,0.0
412538,2,685.3000000000001,Residential,6853,1.0,-1.0
412551,20,1086.4,Residential,10864,2.0,0.0
412557,20,384.40000000000003,Residential,3844,1.0,0.0
412568,20,407.5,Residential,4075,1.0,0.0
412569,24,356.40000000000003,Residential,3564,1.0,0.0
412597,20,878.4000000000001,Residential,8784,1.0,1.0
412605,24,877.9000000000001,Residential,8779,1.0,1.0
412616,24,677.4000000000001,Residential,6774,1.0,1.0
412624,20,697.7,Residential,6977,1.0,0.0
412629,2,2217.7000000000003,Residential,22177,3.0,3.0
412633,20,792.8000000000001,Residential,7928,1.0,-1.0
412637,3,34297.700000000004,Residential,342977,35.0,33.0
412641,24,1153.0,Residential,11530,2.0,1.0
412645,20,960.4000000000001,Residential,9604,1.0,0.0
412652,2,1570.9,Residential,15709,2.0,1.0
412678,2,993.0,Residential,9930,1.0,0.0
412687,20,844.4000000000001,Residential,8444,1.0,0.0
412691,24,759.5,Residential,7595,1.0,0.0
412692,2,883.3000000000001,Residential,8833,1.0,0.0
412698,2,790.6,Residential,7906,1.0,0.0
412701,20,819.5,Residential,8195,1.0,0.0
412704,2,790.5,Residential,7905,1.0,0.0
412706,20,766.6,Residential,7666,1.0,0.0
412710,24,869.4000000000001,Residential,8694,1.0,0.0
412738,2,755.3000000000001,Residential,7553,1.0,1.0
412859,24,692.0,Residential,6920,1.0,0.0
412937,24,721.1,Residential,7211,1.0,0.0
413797,20,5457.700000000001,Residential,54577,6.0,6.0
413802,24,4508.7,Residential,45087,5.0,4.0
413850,24,1038.6000000000001,Residential,10386,2.0,1.0
413857,20,1100.7,Residential,11007,2.0,1.0
413896,24,1172.4,Residential,11724,2.0,1.0
413946,2,645.6,Residential,6456,1.0,0.0
413963,24,869.5,Residential,8695,1.0,0.0
413971,2,1022.3000000000001,Residential,10223,2.0,1.0
413992,3,1057.2,Residential,10572,2.0,1.0
414005,2,887.1,Residential,8871,1.0,1.0
414007,24,1306.6000000000001,Residential,13066,2.0,1.0
414068,24,498.1,Residential,4981,1.0,0.0
414182,24,1140.3,Residential,11403,2.0,1.0
414185,24,764.2,Residential,7642,1.0,0.0
414199,3,544.8000000000001,Residential,5448,1.0,0.0
